"","RequestType","total.income","count"
"370","Electronic Waste",61485,223
"371","Electronic Waste",63516,79
"372","Electronic Waste",64156,21
"373","Electronic Waste",66707,6
"374","Electronic Waste",69602,185
"375","Electronic Waste",75404,89
"376","Feedback",12156,6
"377","Feedback",12679,10
"378","Feedback",14416,3
"379","Feedback",15022,13
"380","Feedback",15239,8
"381","Feedback",15325,13
"382","Feedback",15333,10
"383","Feedback",15440,13
"384","Feedback",15495,2
"385","Feedback",15507,7
"386","Feedback",15632,1
"387","Feedback",15653,7
"388","Feedback",15871,11
"389","Feedback",15932,3
"390","Feedback",15997,5
"391","Feedback",16128,3
"392","Feedback",16295,1
"393","Feedback",16537,5
"394","Feedback",16659,2
"395","Feedback",16956,5
"396","Feedback",16970,1
"397","Feedback",17163,11
"398","Feedback",17239,14
"399","Feedback",17269,3
"400","Feedback",17312,2
"401","Feedback",18407,9
"402","Feedback",18537,8
"403","Feedback",18783,12
"404","Feedback",18932,12
"405","Feedback",19067,10
"406","Feedback",19103,10
"407","Feedback",19309,22
"408","Feedback",20122,16
"409","Feedback",20135,13
"410","Feedback",20210,6
"411","Feedback",20401,10
"412","Feedback",20468,2
"413","Feedback",20820,51
"414","Feedback",21075,3
"415","Feedback",21211,5
"416","Feedback",21227,20
"417","Feedback",21259,5
"418","Feedback",21532,18
"419","Feedback",22045,8
"420","Feedback",22228,8
"421","Feedback",22309,8
"422","Feedback",22418,22
"423","Feedback",22518,9
"424","Feedback",22638,15
"425","Feedback",22834,16
"426","Feedback",22865,28
"427","Feedback",22996,2
"428","Feedback",23083,9
"429","Feedback",23466,5
"430","Feedback",23575,5
"431","Feedback",24941,12
"432","Feedback",25827,6
"433","Feedback",25904,7
"434","Feedback",25933,13
"435","Feedback",26105,13
"436","Feedback",26337,3
"437","Feedback",26415,3
"438","Feedback",26438,3
"439","Feedback",27088,2
"440","Feedback",27546,10
"441","Feedback",29086,8
"442","Feedback",30460,5
"443","Feedback",31003,5
"444","Feedback",31613,6
"445","Feedback",31675,3
"446","Feedback",32432,8
"447","Feedback",33629,12
"448","Feedback",33953,3
"449","Feedback",34831,15
"450","Feedback",35388,1
"451","Feedback",35633,6
"452","Feedback",36258,10
"453","Feedback",37156,4
"454","Feedback",37776,10
"455","Feedback",38518,4
"456","Feedback",39311,6
"457","Feedback",39509,6
"458","Feedback",39664,7
"459","Feedback",40362,3
"460","Feedback",40631,9
"461","Feedback",42628,1
"462","Feedback",42940,10
"463","Feedback",42963,5
"464","Feedback",43672,11
"465","Feedback",44314,5
"466","Feedback",44887,6
"467","Feedback",47068,8
"468","Feedback",48321,1
"469","Feedback",48605,5
"470","Feedback",50272,5
"471","Feedback",53286,5
"472","Feedback",61464,1
"473","Feedback",61485,8
"474","Feedback",63516,3
"475","Feedback",64156,2
"476","Feedback",69602,4
"477","Feedback",75404,1
"478","Graffiti Removal",2870,12
"479","Graffiti Removal",3309,8
"480","Graffiti Removal",12156,6712
"481","Graffiti Removal",12324,1749
"482","Graffiti Removal",12679,8026
"483","Graffiti Removal",14416,1868
"484","Graffiti Removal",15022,9790
"485","Graffiti Removal",15239,17505
"486","Graffiti Removal",15325,4451
"487","Graffiti Removal",15333,9470
"488","Graffiti Removal",15440,11567
"489","Graffiti Removal",15495,4384
"490","Graffiti Removal",15507,1367
"491","Graffiti Removal",15632,3092
"492","Graffiti Removal",15653,1671
"493","Graffiti Removal",15871,3366
"494","Graffiti Removal",15932,2017
"495","Graffiti Removal",15997,5049
"496","Graffiti Removal",16128,6705
"497","Graffiti Removal",16295,1803
"498","Graffiti Removal",16537,5828
"499","Graffiti Removal",16659,7152
"500","Graffiti Removal",16956,47
"501","Graffiti Removal",16970,2143
"502","Graffiti Removal",17163,2050
"503","Graffiti Removal",17239,4954
"504","Graffiti Removal",17269,423
"505","Graffiti Removal",17312,5145
"506","Graffiti Removal",18407,5380
"507","Graffiti Removal",18537,2524
"508","Graffiti Removal",18783,3875
"509","Graffiti Removal",18932,3562
"510","Graffiti Removal",19067,8788
"511","Graffiti Removal",19103,2824
"512","Graffiti Removal",19309,2715
"513","Graffiti Removal",20122,3715
"514","Graffiti Removal",20135,3350
"515","Graffiti Removal",20210,3068
"516","Graffiti Removal",20356,10
"517","Graffiti Removal",20401,1479
"518","Graffiti Removal",20468,331
"519","Graffiti Removal",20820,6447
"520","Graffiti Removal",21075,1012
"521","Graffiti Removal",21211,1896
"522","Graffiti Removal",21227,2957
"523","Graffiti Removal",21259,2235
"524","Graffiti Removal",21384,2
"525","Graffiti Removal",21532,4967
"526","Graffiti Removal",22045,3056
"527","Graffiti Removal",22228,798
"528","Graffiti Removal",22309,1704
"529","Graffiti Removal",22418,3825
"530","Graffiti Removal",22518,3427
"531","Graffiti Removal",22638,3170
"532","Graffiti Removal",22834,3481
"533","Graffiti Removal",22865,11157
"534","Graffiti Removal",22981,714
"535","Graffiti Removal",22996,959
"536","Graffiti Removal",23083,541
"537","Graffiti Removal",23466,1039
"538","Graffiti Removal",23575,1734
"539","Graffiti Removal",23578,11
"540","Graffiti Removal",23971,6
"541","Graffiti Removal",24393,1
"542","Graffiti Removal",24545,1582
"543","Graffiti Removal",24941,6907
"544","Graffiti Removal",25827,831
"545","Graffiti Removal",25904,1647
"546","Graffiti Removal",25933,2095
"547","Graffiti Removal",26105,882
"548","Graffiti Removal",26337,407
"549","Graffiti Removal",26415,266
"550","Graffiti Removal",26438,755
"551","Graffiti Removal",27088,2003
"552","Graffiti Removal",27546,3876
"553","Graffiti Removal",28266,23
"554","Graffiti Removal",28625,27
"555","Graffiti Removal",29086,1961
"556","Graffiti Removal",30460,687
"557","Graffiti Removal",31003,921
"558","Graffiti Removal",31613,240
"559","Graffiti Removal",31675,1333
"560","Graffiti Removal",31713,3
"561","Graffiti Removal",32432,1494
"562","Graffiti Removal",33629,2256
"563","Graffiti Removal",33730,4
"564","Graffiti Removal",33953,941
"565","Graffiti Removal",34831,2125
"566","Graffiti Removal",35026,8
"567","Graffiti Removal",35388,450
"568","Graffiti Removal",35633,284
"569","Graffiti Removal",36258,1473
"570","Graffiti Removal",37156,506
"571","Graffiti Removal",37776,429
"572","Graffiti Removal",38518,858
"573","Graffiti Removal",39311,254
"574","Graffiti Removal",39509,269
"575","Graffiti Removal",39664,329
"576","Graffiti Removal",40243,17
"577","Graffiti Removal",40362,421
"578","Graffiti Removal",40631,1199
"579","Graffiti Removal",42001,155
"580","Graffiti Removal",42578,1
"581","Graffiti Removal",42628,354
"582","Graffiti Removal",42940,1222
"583","Graffiti Removal",42963,438
"584","Graffiti Removal",43672,303
"585","Graffiti Removal",44136,2
"586","Graffiti Removal",44314,444
"587","Graffiti Removal",44717,10
"588","Graffiti Removal",44887,956
"589","Graffiti Removal",45249,5
"590","Graffiti Removal",47068,2794
"591","Graffiti Removal",48321,21
"592","Graffiti Removal",48605,235
"593","Graffiti Removal",50272,695
"594","Graffiti Removal",51183,38
"595","Graffiti Removal",53286,542
"596","Graffiti Removal",53564,1
"597","Graffiti Removal",53733,148
"598","Graffiti Removal",61464,313
"599","Graffiti Removal",61485,88
"600","Graffiti Removal",63516,812
"601","Graffiti Removal",63733,7
"602","Graffiti Removal",64156,53
"603","Graffiti Removal",66707,12
"604","Graffiti Removal",69602,184
"605","Graffiti Removal",75404,37
"606","Graffiti Removal",NA,1
"607","Homeless Encampment",12156,427
"608","Homeless Encampment",12324,26
"609","Homeless Encampment",12679,201
"610","Homeless Encampment",14416,343
"611","Homeless Encampment",15022,86
"612","Homeless Encampment",15239,205
"613","Homeless Encampment",15325,116
"614","Homeless Encampment",15333,330
"615","Homeless Encampment",15440,526
"616","Homeless Encampment",15495,64
"617","Homeless Encampment",15507,57
"618","Homeless Encampment",15632,132
"619","Homeless Encampment",15653,46
"620","Homeless Encampment",15871,181
"621","Homeless Encampment",15932,53
"622","Homeless Encampment",15997,296
"623","Homeless Encampment",16128,171
"624","Homeless Encampment",16295,40
"625","Homeless Encampment",16537,234
"626","Homeless Encampment",16659,101
"627","Homeless Encampment",16956,30
"628","Homeless Encampment",16970,16
"629","Homeless Encampment",17163,282
"630","Homeless Encampment",17239,183
"631","Homeless Encampment",17269,38
"632","Homeless Encampment",17312,105
"633","Homeless Encampment",18407,318
"634","Homeless Encampment",18537,380
"635","Homeless Encampment",18783,104
"636","Homeless Encampment",18932,196
"637","Homeless Encampment",19067,186
"638","Homeless Encampment",19103,218
"639","Homeless Encampment",19309,112
