geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
86000US91745,91745,55237,1543,30095,1057,7325,622,512,223,140,69,21392,1056,195,157,21,24,510,195,63,67,447,181,25142,1454,17863,1595,57,48,100,67,134,112,38,63,6145,1154,805,231,459,182,346,176
86000US91746,91746,29420,1250,4401,486,1372,235,177,123,23,44,2675,411,0,23,66,56,88,84,0,23,88,84,25019,1315,12679,1171,52,43,243,285,148,163,0,23,11086,1357,811,328,679,296,132,120
86000US91748,91748,47859,1101,33146,916,4618,594,323,116,214,122,27177,808,134,88,30,38,650,189,34,41,616,183,14713,905,6912,805,49,47,9,14,138,103,0,26,6989,1181,616,225,320,205,296,132
86000US91750,91750,33969,499,23034,908,17473,858,1279,432,137,89,3004,492,1,2,75,62,1065,363,26,29,1039,363,10935,859,7993,1006,170,113,88,81,50,70,27,43,2166,617,441,177,331,165,110,62
86000US91754,91754,33622,1012,22086,819,1461,312,159,122,10,10,19561,786,166,156,75,67,654,257,8,14,646,258,11536,1024,5295,837,31,48,50,49,88,95,0,26,5796,1014,276,107,186,89,90,58
86000US91755,91755,27305,1011,20108,908,930,234,105,87,74,121,18473,921,45,40,28,33,453,266,16,20,437,266,7197,750,3730,530,15,24,53,58,106,73,11,15,2958,662,324,154,224,128,100,68
86000US91759,91759,369,119,339,114,335,114,0,12,0,12,4,6,0,12,0,12,0,12,0,12,0,12,30,19,28,18,0,12,2,3,0,12,0,12,0,12,0,12,0,12,0,12
86000US91765,91765,47562,577,37773,735,11047,681,1688,432,138,139,23467,983,442,464,99,77,892,270,87,67,805,263,9789,783,5143,889,160,168,55,50,47,37,0,26,3597,904,787,376,236,166,551,320
86000US91766,91766,71851,1428,20249,1204,7057,989,3802,659,152,97,8171,834,245,243,28,32,794,210,30,34,764,207,51602,1660,41189,2037,230,147,471,244,138,91,0,29,8364,1268,1210,377,488,195,722,316
86000US91767,91767,49027,1367,16611,804,8103,665,4408,594,165,111,3417,451,25,37,7,10,486,172,74,44,412,173,32416,1283,26248,1413,217,172,257,207,31,32,5,13,4552,777,1106,286,782,272,324,123
86000US91768,91768,36454,1118,11066,747,4867,539,2708,471,49,56,2614,456,78,120,302,312,448,138,54,41,394,136,25388,1162,10827,1122,93,66,255,172,21,30,0,26,13316,1414,876,440,724,404,152,118
86000US91770,91770,63119,933,42231,1101,3154,533,184,125,99,65,38144,1050,107,83,47,55,496,231,17,16,479,231,20888,1132,11277,1006,0,29,186,156,45,41,0,29,8708,1156,672,230,556,205,116,83
86000US91773,91773,33869,282,23496,893,16143,849,1284,509,119,102,4417,638,17,18,114,109,1402,431,226,206,1176,388,10373,921,6329,900,73,78,130,134,149,127,0,26,2773,716,919,361,685,349,234,122
86000US91775,91775,25395,839,18879,817,5809,509,196,116,35,31,12131,628,38,55,100,73,570,178,82,78,488,152,6516,728,2731,461,0,23,8,13,62,64,19,27,3324,642,372,183,149,112,223,134
86000US91776,91776,37378,694,27422,944,2980,553,229,129,17,18,23723,914,102,113,50,79,321,127,25,28,296,125,9956,934,3628,702,45,55,43,35,116,119,0,26,5931,1106,193,134,126,116,67,62
86000US91780,91780,35274,691,27389,982,6906,582,302,212,0,26,19582,854,0,26,48,39,551,257,165,220,386,129,7885,834,2709,604,33,40,41,45,73,85,0,26,4688,899,341,185,176,120,165,127
86000US91789,91789,43369,714,34509,838,5860,500,1001,277,43,47,26406,765,95,100,98,60,1006,259,60,53,946,254,8860,751,5561,617,33,32,67,45,291,135,0,26,2482,673,426,168,287,159,139,71
86000US91790,91790,46059,1191,16857,991,6132,600,1414,352,112,111,8680,753,0,26,0,26,519,255,19,34,500,250,29202,1381,11826,1222,225,186,111,94,642,272,34,70,15300,1344,1064,428,584,215,480,371
86000US91791,91791,33174,1090,16285,913,5976,508,1743,406,28,35,8141,756,0,26,41,44,356,130,71,54,285,110,16889,1082,8495,1038,122,101,103,99,85,76,73,85,7173,1081,838,262,732,252,106,79
86000US91792,91792,30102,874,16430,933,2419,434,2091,480,4,7,11389,855,27,45,53,80,447,183,17,19,430,183,13672,857,5728,917,27,26,271,265,87,67,0,26,6479,769,1080,516,508,217,572,448
86000US91801,91801,53792,946,35962,1267,5628,745,902,292,89,95,28544,1333,18,28,173,186,608,216,4,7,604,216,17830,1162,6698,938,38,35,58,48,202,123,22,33,9961,1257,851,276,546,259,305,145
86000US91803,91803,30586,939,18615,978,2864,462,218,111,49,73,14918,902,81,55,19,24,466,217,75,84,391,196,11971,872,5197,720,31,36,30,32,82,68,15,27,6175,1011,441,175,302,157,139,85
86000US92397,92397,4616,667,3895,648,3846,642,0,12,0,12,0,12,0,12,0,12,49,55,0,12,49,55,721,279,573,272,0,12,0,12,0,12,0,12,70,70,78,89,34,53,44,71
86000US93225,93225,5572,748,4789,566,4516,544,0,17,35,41,118,108,0,17,0,17,120,119,0,17,120,119,783,519,676,508,0,17,0,17,0,17,0,17,74,115,33,53,33,53,0,17
86000US93243,93243,1720,681,1024,409,860,360,0,12,35,56,125,178,0,12,0,12,4,6,0,12,4,6,696,502,673,509,0,12,0,12,0,12,0,12,23,43,0,12,0,12,0,12
86000US93252,93252,3665,286,1802,243,1446,234,120,82,35,53,150,101,0,12,0,12,51,31,28,22,23,27,1863,261,1503,270,17,23,27,15,0,12,0,12,112,62,204,173,201,173,3,5
86000US93510,93510,7289,578,5999,458,5508,442,189,108,11,19,67,63,5,9,55,87,164,89,0,17,164,89,1290,462,573,227,0,17,0,17,0,17,0,17,707,516,10,16,0,17,10,16
86000US93532,93532,2419,310,2078,270,1965,276,40,56,16,23,36,34,0,12,2,4,19,25,0,12,19,25,341,129,287,115,3,6,0,12,0,12,0,12,38,31,13,19,10,17,3,8
86000US93534,93534,39120,1316,25045,1207,13406,935,8251,1051,106,74,1630,413,199,163,49,96,1404,570,9,14,1395,567,14075,1254,10365,1433,81,58,133,75,67,92,0,26,2667,678,762,358,502,323,260,141
86000US93535,93535,73282,1885,39984,1683,21118,1395,15094,1393,157,118,2157,547,135,112,101,84,1222,316,111,98,1111,303,33298,1795,25921,1792,724,340,164,116,19,25,19,31,4896,810,1555,480,1077,390,478,229
86000US93536,93536,71313,1752,50147,1741,33496,1599,10346,1001,331,105,3290,553,111,126,69,54,2504,539,27,27,2477,539,21166,1362,15755,1603,541,357,233,139,99,71,9,15,3546,779,983,295,418,193,565,210
86000US93543,93543,13578,1193,4640,718,3185,608,1093,444,0,19,127,79,45,50,13,20,177,187,0,19,177,187,8938,1259,2749,853,28,45,55,72,0,19,0,19,5944,1421,162,152,152,151,10,15
86000US93544,93544,951,334,772,273,611,235,42,64,0,12,0,12,0,12,78,123,41,58,0,12,41,58,179,193,58,81,0,12,0,12,0,12,0,12,30,49,91,108,63,103,28,43
86000US93550,93550,74203,1579,26032,1224,12114,758,9937,1031,301,279,2044,460,147,165,232,178,1257,351,81,72,1176,341,48171,1544,13951,1513,503,287,479,329,30,33,17,27,31412,1695,1779,545,1266,417,513,207
86000US93551,93551,50572,1462,34343,1152,23592,1143,4636,699,237,143,4012,798,51,61,302,285,1513,389,47,41,1466,384,16229,1165,7710,989,123,92,0,29,148,94,5,8,7108,1201,1135,365,919,357,216,140
86000US93552,93552,42073,1452,14168,1398,5905,892,6486,1082,109,56,1008,332,18,28,58,55,584,236,106,99,478,209,27905,1644,10314,1629,179,109,45,40,0,26,0,26,16316,2097,1051,401,480,216,571,336
86000US93553,93553,1975,317,1546,299,1417,296,79,75,11,18,0,12,9,14,0,12,30,47,0,12,30,47,429,183,138,108,0,12,0,12,0,12,0,12,172,120,119,104,119,104,0,12
86000US93560,93560,19189,1240,12082,1211,8808,1184,1618,735,134,112,807,309,0,19,15,23,700,283,90,83,610,268,7107,1060,3927,1052,10,16,59,68,44,46,0,19,2690,768,377,196,221,133,156,138
86000US93563,93563,375,119,280,107,191,84,24,18,0,12,17,25,2,4,0,12,46,36,0,12,46,36,95,51,42,23,0,12,0,12,0,12,0,12,49,40,4,7,0,12,4,7
86000US93591,93591,6558,673,2915,455,1934,312,817,390,0,17,23,36,0,17,0,17,141,99,0,17,141,99,3643,635,1521,459,3,8,19,29,0,17,0,17,1798,602,302,279,62,65,240,251
